AN_BASE;NM_GRANDE_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;NM_AREA_BASICA;NM_SUBAREA_CONHECIMENTO;NM_ESPECIALIDADE;CD_AREA_AVALIACAO;NM_AREA_AVALIACAO;CD_ENTIDADE_CAPES;CD_ENTIDADE_EMEC;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;IN_REDE;SG_ENTIDADE_ENSINO_REDE;CS_STATUS_JURIDICO;DS_DEPENDENCIA_ADMINISTRATIVA;DS_ORGANIZACAO_ACADEMICA;NM_REGIAO;SG_UF_PROGRAMA;NM_MUNICIPIO_PROGRAMA_IES;NM_MODALIDADE_PROGRAMA;CD_PROGRAMA_IES;NM_PROGRAMA_IES;NM_PROGRAMA_IDIOMA;NM_GRAU_PROGRAMA;CD_CONCEITO_PROGRAMA;AN_INICIO_PROGRAMA;AN_INICIO_CURSO;DS_SITUACAO_PROGRAMA;DT_SITUACAO_PROGRAMA;ID_ADD_FOTO_PROGRAMA_IES;ID_ADD_FOTO_PROGRAMA
2021;MULTIDISCIPLINAR;INTERDISCIPLINAR;SAÚDE E BIOLÓGICAS;SAÚDE E BIOLÓGICAS;NÃO SE APLICA;45;INTERDISCIPLINAR;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25001019092P2;GERONTOLOGIA;GERONTOLOGY;MESTRADO;4;2014;2014;EM FUNCIONAMENTO;01NOV2013:00:00:00;227205;157603
2021;CIÊNCIAS SOCIAIS APLICADAS;ADMINISTRAÇÃO;ADMINISTRAÇÃO;NÃO SE APLICA;NÃO SE APLICA;27;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;CARUARU;ACADÊMICO;25001019173P2;GESTÃO, INOVAÇÃO E CONSUMO;GRADUATE PROGRAM IN MANAGEMENT, INNOVATION AND CONSUMPTION;MESTRADO;3;2019;2019;EM FUNCIONAMENTO;24MAY2019:00:00:00;248544;186598
2021;ENGENHARIAS;ENGENHARIA NUCLEAR;ENGENHARIA NUCLEAR;NÃO SE APLICA;NÃO SE APLICA;12;ENGENHARIAS II;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25001019020P1;TECNOLOGIAS ENERGÉTICAS E NUCLEARES;NUCLEAR AND ENERGY TECHNOLOGY;MESTRADO/DOUTORADO;5;1977;1977/1997;EM FUNCIONAMENTO;19DEC2012:00:00:00;227330;157667
2021;CIÊNCIAS HUMANAS;PSICOLOGIA;PSICOLOGIA;NÃO SE APLICA;NÃO SE APLICA;37;PSICOLOGIA;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25001019066P1;PSICOLOGIA;PSYCHOLOGY;MESTRADO/DOUTORADO;5;2006;2006/2012;EM FUNCIONAMENTO;14MAR2014:00:00:00;227567;157841
2021;ENGENHARIAS;ENGENHARIA ELÉTRICA;ENGENHARIA ELÉTRICA;NÃO SE APLICA;NÃO SE APLICA;14;ENGENHARIAS IV;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25001019019P3;ENGENHARIA ELÉTRICA;GRADUATE PROGRAM IN ELECTRICAL ENGINEERING;MESTRADO/DOUTORADO;5;1978;1978/2000;EM FUNCIONAMENTO;12DEC2012:00:00:00;251311;189037
2021;LINGÜÍSTICA, LETRAS E ARTES;LETRAS;LETRAS;NÃO SE APLICA;NÃO SE APLICA;41;LINGUÍSTICA E LITERATURA;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25001019032P0;LETRAS;GRADUATE PROGRAM IN LANGUAGE ARTS;MESTRADO/DOUTORADO;5;1976;1976/1990;EM FUNCIONAMENTO;01JUN2010:00:00:00;249795;187636
2021;CIÊNCIAS HUMANAS;ANTROPOLOGIA;ANTROPOLOGIA;NÃO SE APLICA;NÃO SE APLICA;35;ANTROPOLOGIA / ARQUEOLOGIA;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25001019013P5;ANTROPOLOGIA;POSTGRADUATE PROGRAM IN ANTHROPOLOGY;MESTRADO/DOUTORADO;5;1977;1977/2001;EM FUNCIONAMENTO;18MAR2014:00:00:00;251215;188939
2021;CIÊNCIAS EXATAS E DA TERRA;FÍSICA;FÍSICA;NÃO SE APLICA;NÃO SE APLICA;3;ASTRONOMIA / FÍSICA;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25001019002P3;FÍSICA;GRADUATE PROGRAM IN PHYSICS - FEDERAL UNIVERSITY OF PERNAMBUCO;MESTRADO/DOUTORADO;7;1973;1973/1975;EM FUNCIONAMENTO;23APR2012:00:00:00;246256;184559
2021;CIÊNCIAS DA SAÚDE;NUTRIÇÃO;NUTRIÇÃO;NÃO SE APLICA;NÃO SE APLICA;50;NUTRIÇÃO;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25001019028P2;NUTRIÇÃO;NUTRITION POST GRADUATE PROGRAM;MESTRADO/DOUTORADO;5;1971;1971/1991;EM FUNCIONAMENTO;31AUG2012:00:00:00;251876;189596
2021;MULTIDISCIPLINAR;CIÊNCIAS AMBIENTAIS;CIÊNCIAS AMBIENTAIS;NÃO SE APLICA;NÃO SE APLICA;49;CIÊNCIAS AMBIENTAIS;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25001019060P3;DESENVOLVIMENTO E MEIO AMBIENTE;POSTGRADUATE PROGRAM IN DEVELOPMENT AND ENVIRONMENT;MESTRADO;5;1998;1998;EM FUNCIONAMENTO;08JAN2013:00:00:00;250560;188322
