AN_BASE;NM_GRANDE_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;NM_AREA_BASICA;NM_SUBAREA_CONHECIMENTO;NM_ESPECIALIDADE;CD_AREA_AVALIACAO;NM_AREA_AVALIACAO;CD_ENTIDADE_CAPES;CD_ENTIDADE_EMEC;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;IN_REDE;SG_ENTIDADE_ENSINO_REDE;CS_STATUS_JURIDICO;DS_DEPENDENCIA_ADMINISTRATIVA;DS_ORGANIZACAO_ACADEMICA;NM_REGIAO;SG_UF_PROGRAMA;NM_MUNICIPIO_PROGRAMA_IES;NM_MODALIDADE_PROGRAMA;CD_PROGRAMA_IES;NM_PROGRAMA_IES;NM_PROGRAMA_IDIOMA;NM_GRAU_PROGRAMA;CD_CONCEITO_PROGRAMA;AN_INICIO_PROGRAMA;AN_INICIO_CURSO;DS_SITUACAO_PROGRAMA;DT_SITUACAO_PROGRAMA;ID_ADD_FOTO_PROGRAMA_IES;ID_ADD_FOTO_PROGRAMA
2023;CIÊNCIAS HUMANAS;FILOSOFIA;FILOSOFIA;NÃO SE APLICA;NÃO SE APLICA;33;FILOSOFIA;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;ACADÊMICO;10001018043P0;FILOSOFIA;PHILOSOPHY;MESTRADO;3;2019;2019;EM FUNCIONAMENTO;17SEP2019:00:00:00;244016;180063
2023;CIÊNCIAS HUMANAS;EDUCAÇÃO;EDUCAÇÃO;NÃO SE APLICA;NÃO SE APLICA;38;EDUCAÇÃO;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;PROFISSIONAL;10001018016P2;EDUCAÇÃO ESCOLAR;PROFESSIONAL MASTERS OF SCHOOL EDUCATION;MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL;4;2014;2014/2019;EM FUNCIONAMENTO;10APR2013:00:00:00;245067;182293
2023;CIÊNCIAS HUMANAS;PSICOLOGIA;PSICOLOGIA;NÃO SE APLICA;NÃO SE APLICA;37;PSICOLOGIA;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;ACADÊMICO;10001018009P6;PSICOLOGIA;GRADUATE PROGRAM PSYCOLOGY;MESTRADO;4;2009;2009;EM FUNCIONAMENTO;29MAY2013:00:00:00;245806;184197
2023;CIÊNCIAS HUMANAS;EDUCAÇÃO;EDUCAÇÃO;NÃO SE APLICA;NÃO SE APLICA;38;EDUCAÇÃO;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;ACADÊMICO;10001018011P0;EDUCAÇÃO;ACADEMIC MASTER'S DEGREE IN EDUCATION;MESTRADO;4;2010;2010;EM FUNCIONAMENTO;20MAR2012:00:00:00;240771;173050
2023;CIÊNCIAS HUMANAS;GEOGRAFIA;GEOGRAFIA;NÃO SE APLICA;NÃO SE APLICA;36;GEOGRAFIA;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;ACADÊMICO;10001018005P0;GEOGRAFIA;MASTERS IN GEOGRAPHY, FEDERAL UNIVERSITY OF RONDÔNIA;MESTRADO/DOUTORADO;4;2006;2006/2015;EM FUNCIONAMENTO;19JUN2013:00:00:00;242353;176807
2023;LINGÜÍSTICA, LETRAS E ARTES;LETRAS;LETRAS;NÃO SE APLICA;NÃO SE APLICA;41;LINGUÍSTICA E LITERATURA;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;ACADÊMICO;10001018010P4;LETRAS;MASTER DEGREE: MESTRADO ACADÊMICO EM LETRAS;MESTRADO;4;2010;2010;EM FUNCIONAMENTO;23APR2013:00:00:00;245764;184176
2023;MULTIDISCIPLINAR;INTERDISCIPLINAR;SAÚDE E BIOLÓGICAS;SAÚDE E BIOLÓGICAS;NÃO SE APLICA;45;INTERDISCIPLINAR;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;PROFISSIONAL;10001018013P3;ENSINO EM CIÊNCIAS DA SAÚDE;MASTERS IN TEACHING HEALTH SCIENCES;MESTRADO PROFISSIONAL;1;2012;2012;EM DESATIVACAO;08FEB2018:00:00:00;245509;183279
2023;CIÊNCIAS SOCIAIS APLICADAS;ADMINISTRAÇÃO;ADMINISTRAÇÃO;NÃO SE APLICA;NÃO SE APLICA;27;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;ACADÊMICO;10001018006P7;ADMINISTRAÇÃO;MASTER IN ADMINISTRATION;MESTRADO;3;2006;2006;EM FUNCIONAMENTO;30DEC2013:00:00:00;240014;171384
2023;CIÊNCIAS HUMANAS;HISTÓRIA;HISTÓRIA REGIONAL DO BRASIL;HISTÓRIA DO BRASIL;HISTÓRIA REGIONAL DO BRASIL;40;HISTÓRIA;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;ACADÊMICO;10001018045P2;HISTÓRIA DA AMAZÔNIA;MASTER'S DEGREE IN AMAZONIAN HISTORY;MESTRADO;A;2021;2021;EM FUNCIONAMENTO;25AUG2021:00:00:00;241940;175787
2023;CIÊNCIAS BIOLÓGICAS;ECOLOGIA;ECOLOGIA;NÃO SE APLICA;NÃO SE APLICA;7;BIODIVERSIDADE;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;NÃO;NA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RO;PORTO VELHO;ACADÊMICO;10001018041P7;CONSERVAÇÃO E USO DE RECURSOS NATURAIS;CONSERVATION AND USE OF NATURAL RESOURCES;MESTRADO;3;2019;2019;EM FUNCIONAMENTO;28AUG2019:00:00:00;242985;177987
